order_id,order_date,customer_id,seller_id,category,price,region,seller_rating,payment_method,is_returned
100000,2024-04-12,C00527,S0285,Footwear,850.65,Maharashtra,4.66,UPI,0
100001,2025-03-11,C02362,S0128,Home & Kitchen,999.17,Maharashtra,3.25,UPI,0
100002,2024-12-14,C02777,S0440,Home & Kitchen,1304.48,Tamil Nadu,3.65,UPI,0
100003,2024-09-27,C02709,S0452,Fashion,705.32,Uttar Pradesh,4.85,COD,1
100004,2024-04-16,C02365,S0142,Electronics,1245.96,West Bengal,3.74,COD,0
100005,2024-03-12,C00785,S0245,Beauty & Personal Care,439.1,Karnataka,3.19,COD,1
100006,2024-07-07,C00326,S0291,Footwear,674.91,Tamil Nadu,4.84,UPI,0
100007,2024-01-21,C01368,S0566,Fashion,94.19,West Bengal,3.44,COD,0
100008,2024-04-12,C00129,S0437,Home & Kitchen,1585.15,Kerala,3.34,UPI,0
100009,2024-05-01,C03145,S0276,Fashion,515.33,Tamil Nadu,3.77,NetBanking,1
100010,2025-04-11,C01500,S0086,Footwear,1382.36,Rajasthan,3.29,Card,1
100011,2024-08-02,C00924,S0299,Fashion,548.65,Kerala,4.47,Card,1
100012,2024-11-26,C04507,S0042,Home & Kitchen,1013.2,West Bengal,4.53,COD,0
100013,2025-04-03,C04424,S0232,Fashion,261.72,Delhi,5.0,COD,1
100014,2024-03-28,C01653,S0563,Home & Kitchen,1602.95,Rajasthan,4.15,Card,0
100015,2025-01-07,C02477,S0215,Electronics,1916.42,Gujarat,4.15,NetBanking,0
100016,2024-04-09,C02830,S0164,Fashion,695.05,Delhi,3.31,NetBanking,0
100017,2024-12-25,C00947,S0217,Fashion,455.18,Telangana,3.43,COD,1
100018,2024-05-31,C01873,S0278,Electronics,3338.23,West Bengal,3.62,UPI,0
100019,2024-05-10,C00913,S0516,Electronics,1154.22,Maharashtra,5.0,COD,0
100020,2024-05-29,C03837,S0520,Electronics,1260.29,Delhi,3.28,UPI,0
100021,2024-11-04,C03103,S0559,Fashion,954.05,Delhi,3.47,Card,1
100022,2024-09-14,C01302,S0542,Home & Kitchen,1793.21,Tamil Nadu,3.72,Card,1
100023,2024-12-09,C03821,S0599,Fashion,787.4,Kerala,5.0,Card,0
100024,2025-05-06,C02081,S0542,Electronics,2050.04,Uttar Pradesh,3.66,UPI,0
